日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,2,2号线,377349.0,229387.0,296962.0,147962.0,674311.0,1,元旦
2023-01-01,2023,01-01,2,2号线,362850.0,225124.0,258846.0,137726.0,621696.0,1,元旦
2023-01-02,2023,01-02,2,2号线,322501.0,182495.0,214816.0,140006.0,537317.0,1,元旦
2023-01-03,2023,01-03,2,2号线,350823.0,200395.0,232092.0,150428.0,582915.0,1,元旦
2023-12-31,2023,12-31,2,2号线,1134803.0,675733.0,763604.0,459070.0,1898407.0,1,元旦
2024-01-01,2024,01-01,2,2号线,1063822.0,576604.0,698161.0,487218.0,1761983.0,1,元旦
2024-01-02,2024,01-02,2,2号线,606073.0,314449.0,359565.0,291624.0,965638.0,1,元旦
2024-12-31,2024,12-31,2,2号线,937816.0,531990.0,679836.0,405826.0,1617652.0,1,元旦
2025-01-01,2025,01-01,2,2号线,695949.0,491858.0,525966.0,204091.0,1221915.0,1,元旦
2025-01-02,2025,01-02,2,2号线,480402.0,326732.0,375670.0,153670.0,856072.0,1,元旦
