日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,6,6号线,213536.0,96350.0,85753.0,117186.0,299289.0,1,元旦
2023-01-01,2023,01-01,6,6号线,174973.0,78469.0,77849.0,96504.0,252822.0,1,元旦
2023-01-02,2023,01-02,6,6号线,174142.0,78865.0,82468.0,95277.0,256610.0,1,元旦
2023-01-03,2023,01-03,6,6号线,236082.0,112389.0,112286.0,123693.0,348368.0,1,元旦
2023-12-31,2023,12-31,6,6号线,655420.0,306002.0,240116.0,349418.0,895536.0,1,元旦
2024-01-01,2024,01-01,6,6号线,545915.0,241142.0,293199.0,304773.0,839114.0,1,元旦
2024-01-02,2024,01-02,6,6号线,452933.0,220772.0,228288.0,232161.0,681221.0,1,元旦
2024-12-31,2024,12-31,6,6号线,789152.0,410613.0,371815.0,378539.0,1160967.0,1,元旦
2025-01-01,2025,01-01,6,6号线,470490.0,276708.0,298934.0,193782.0,769424.0,1,元旦
2025-01-02,2025,01-02,6,6号线,418035.0,265755.0,268061.0,152280.0,686096.0,1,元旦
