日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,5,5号线,160734.0,73414.0,59221.0,87320.0,219955.0,1,元旦
2023-01-01,2023,01-01,5,5号线,140635.0,68489.0,54163.0,72146.0,194798.0,1,元旦
2023-01-02,2023,01-02,5,5号线,121004.0,55977.0,48603.0,65027.0,169607.0,1,元旦
2023-01-03,2023,01-03,5,5号线,157363.0,75582.0,68100.0,81781.0,225463.0,1,元旦
2023-12-31,2023,12-31,5,5号线,432025.0,192496.0,132388.0,239529.0,564413.0,1,元旦
2024-01-01,2024,01-01,5,5号线,356097.0,151145.0,148568.0,204952.0,504665.0,1,元旦
2024-01-02,2024,01-02,5,5号线,253334.0,118549.0,108290.0,134785.0,361624.0,1,元旦
2024-12-31,2024,12-31,5,5号线,415515.0,195730.0,170364.0,219785.0,585879.0,1,元旦
2025-01-01,2025,01-01,5,5号线,234482.0,153049.0,133358.0,81433.0,367840.0,1,元旦
2025-01-02,2025,01-02,5,5号线,195288.0,125555.0,114814.0,69733.0,310102.0,1,元旦
