日期,年份,日期标识,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型
2022-12-31,2022,12-31,1,1号线,209447.0,127776.0,126778.0,81671.0,336225.0,1,元旦
2023-01-01,2023,01-01,1,1号线,197165.0,117172.0,111279.0,79993.0,308444.0,1,元旦
2023-01-02,2023,01-02,1,1号线,172095.0,102331.0,99007.0,69764.0,271102.0,1,元旦
2023-01-03,2023,01-03,1,1号线,230789.0,140536.0,139355.0,90253.0,370144.0,1,元旦
2023-12-31,2023,12-31,1,1号线,654470.0,404343.0,351639.0,250127.0,1006109.0,1,元旦
2024-01-01,2024,01-01,1,1号线,548880.0,317417.0,341401.0,231463.0,890281.0,1,元旦
2024-01-02,2024,01-02,1,1号线,374004.0,219701.0,219395.0,154303.0,593399.0,1,元旦
2024-12-31,2024,12-31,1,1号线,616166.0,383628.0,371997.0,232538.0,988163.0,1,元旦
2025-01-01,2025,01-01,1,1号线,473378.0,325821.0,315480.0,147557.0,788858.0,1,元旦
2025-01-02,2025,01-02,1,1号线,379431.0,259678.0,256848.0,119753.0,636279.0,1,元旦
