日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,5,5号线,234482.0,153049.0,133358.0,81433.0,367840.0,1,元旦,1,1
2025-01-02,2025,1,2,5,5号线,195288.0,125555.0,114814.0,69733.0,310102.0,1,元旦,0,2
2025-01-04,2025,1,4,5,5号线,178988.0,116658.0,103978.0,62330.0,282966.0,8,周末,0,0
2025-01-05,2025,1,5,5,5号线,166626.0,107881.0,95193.0,58745.0,261819.0,8,周末,0,0
2025-01-11,2025,1,11,5,5号线,181531.0,118661.0,103451.0,62870.0,284982.0,8,周末,0,0
2025-01-12,2025,1,12,5,5号线,169017.0,110076.0,95476.0,58941.0,264493.0,8,周末,0,0
2025-01-18,2025,1,18,5,5号线,172250.0,114002.0,98070.0,58248.0,270320.0,8,周末,0,0
2025-01-19,2025,1,19,5,5号线,157921.0,102883.0,90892.0,55038.0,248813.0,8,周末,0,0
2025-01-25,2025,1,25,5,5号线,98276.0,65520.0,52750.0,32756.0,151026.0,8,周末,0,0
2025-01-26,2025,1,26,5,5号线,95525.0,64714.0,50548.0,30811.0,146073.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,5,5号线,70647.0,47696.0,36277.0,22951.0,106924.0,2,春节,0,0
2025-01-28,2025,1,28,5,5号线,43455.0,28513.0,23868.0,14942.0,67323.0,2,春节,7,1
2025-01-29,2025,1,29,5,5号线,51056.0,33554.0,27389.0,17502.0,78445.0,2,春节,7,2
2025-01-30,2025,1,30,5,5号线,60929.0,38951.0,32852.0,21978.0,93781.0,2,春节,7,3
2025-01-31,2025,1,31,5,5号线,56294.0,35993.0,30007.0,20301.0,86301.0,2,春节,7,4
2025-02-01,2025,2,1,5,5号线,74874.0,47795.0,39646.0,27079.0,114520.0,2,春节,7,5
2025-02-02,2025,2,2,5,5号线,85653.0,54256.0,45829.0,31397.0,131482.0,2,春节,7,6
2025-02-03,2025,2,3,5,5号线,109185.0,68749.0,60980.0,40436.0,170165.0,2,春节,7,7
2025-02-04,2025,2,4,5,5号线,110508.0,60652.0,76285.0,49856.0,186793.0,2,春节,0,8
2025-02-08,2025,2,8,5,5号线,157018.0,92022.0,108580.0,64996.0,265598.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,5,5号线,135802.0,79258.0,94681.0,56544.0,230483.0,8,周末,0,0
2025-02-15,2025,2,15,5,5号线,158475.0,91992.0,105965.0,66483.0,264440.0,8,周末,0,0
2025-02-16,2025,2,16,5,5号线,148791.0,85193.0,97224.0,63598.0,246015.0,8,周末,0,0
2025-02-22,2025,2,22,5,5号线,165344.0,92639.0,115455.0,72705.0,280799.0,8,周末,0,0
2025-02-23,2025,2,23,5,5号线,157385.0,88801.0,108743.0,68584.0,266128.0,8,周末,0,0
2025-03-01,2025,3,1,5,5号线,333179.0,149272.0,132188.0,183907.0,465367.0,8,周末,0,0
2025-03-02,2025,3,2,5,5号线,263902.0,118582.0,109588.0,145320.0,373490.0,8,周末,0,0
2025-03-08,2025,3,8,5,5号线,370831.0,169067.0,147244.0,201764.0,518075.0,8,周末,0,0
2025-03-09,2025,3,9,5,5号线,273708.0,125089.0,108710.0,148619.0,382418.0,8,周末,0,0
2025-03-15,2025,3,15,5,5号线,287019.0,132010.0,116121.0,155009.0,403140.0,8,周末,0,0
2025-03-16,2025,3,16,5,5号线,296694.0,135325.0,123915.0,161369.0,420609.0,8,周末,0,0
2025-03-22,2025,3,22,5,5号线,344336.0,155633.0,138227.0,188703.0,482563.0,8,周末,0,0
2025-03-23,2025,3,23,5,5号线,290299.0,132406.0,119059.0,157893.0,409358.0,8,周末,0,0
2025-03-29,2025,3,29,5,5号线,236619.0,109866.0,96150.0,126753.0,332769.0,8,周末,0,0
2025-03-30,2025,3,30,5,5号线,242461.0,113127.0,100171.0,129334.0,342632.0,8,周末,0,0
2025-04-03,2025,4,3,5,5号线,358093.0,162481.0,140296.0,195612.0,498389.0,3,清明节,0,0
2025-04-04,2025,4,4,5,5号线,276413.0,120650.0,101661.0,155763.0,378074.0,3,清明节,3,1
2025-04-05,2025,4,5,5,5号线,299558.0,131324.0,116304.0,168234.0,415862.0,3,清明节,3,2
2025-04-06,2025,4,6,5,5号线,287946.0,125808.0,122772.0,162138.0,410718.0,3,清明节,3,3
2025-04-07,2025,4,7,5,5号线,269135.0,126232.0,118551.0,142903.0,387686.0,3,清明节,0,4
2025-04-12,2025,4,12,5,5号线,284395.0,129677.0,112585.0,154718.0,396980.0,8,周末,0,0
2025-04-13,2025,4,13,5,5号线,274001.0,125240.0,111932.0,148761.0,385933.0,8,周末,0,0
2025-04-19,2025,4,19,5,5号线,272600.0,123849.0,107806.0,148751.0,380406.0,8,周末,0,0
2025-04-20,2025,4,20,5,5号线,263995.0,120826.0,106531.0,143169.0,370526.0,8,周末,0,0
2025-04-26,2025,4,26,5,5号线,268343.0,124476.0,109055.0,143867.0,377398.0,8,周末,0,0
2025-04-27,2025,4,27,5,5号线,237400.0,111934.0,102616.0,125466.0,340016.0,9,节假日调休补班,0,0
2025-04-30,2025,4,30,5,5号线,367882.0,165649.0,142079.0,202233.0,509961.0,4,五一劳动节,0,0
2025-05-01,2025,5,1,5,5号线,344114.0,146667.0,125518.0,197447.0,469632.0,4,五一劳动节,5,1
2025-05-02,2025,5,2,5,5号线,326986.0,139919.0,119663.0,187067.0,446649.0,4,五一劳动节,5,2
2025-05-03,2025,5,3,5,5号线,304206.0,131359.0,114188.0,172847.0,418394.0,4,五一劳动节,5,3
2025-05-04,2025,5,4,5,5号线,278522.0,122216.0,109314.0,156306.0,387836.0,4,五一劳动节,5,4
2025-05-05,2025,5,5,5,5号线,278805.0,122409.0,122424.0,156396.0,401229.0,4,五一劳动节,5,5
2025-05-06,2025,5,6,5,5号线,264595.0,122745.0,115601.0,141850.0,380196.0,4,五一劳动节,0,6
2025-05-10,2025,5,10,5,5号线,285791.0,129502.0,114142.0,156289.0,399933.0,8,周末,0,0
2025-05-11,2025,5,11,5,5号线,255637.0,116371.0,105556.0,139266.0,361193.0,8,周末,0,0
2025-05-17,2025,5,17,5,5号线,289883.0,132683.0,116000.0,157200.0,405883.0,8,周末,0,0
2025-05-18,2025,5,18,5,5号线,249445.0,113793.0,102220.0,135652.0,351665.0,8,周末,0,0
2025-05-24,2025,5,24,5,5号线,281647.0,128793.0,111989.0,152854.0,393636.0,8,周末,0,0
2025-05-25,2025,5,25,5,5号线,245929.0,112161.0,100770.0,133768.0,346699.0,8,周末,0,0
2025-05-30,2025,5,30,5,5号线,348294.0,157149.0,133633.0,191145.0,481927.0,5,端午节,0,0
2025-05-31,2025,5,31,5,5号线,261978.0,114940.0,93901.0,147038.0,355879.0,5,端午节,3,1
2025-06-01,2025,6,1,5,5号线,261606.0,115657.0,101113.0,145949.0,362719.0,5,端午节,3,2
2025-06-02,2025,6,2,5,5号线,263383.0,116311.0,114067.0,147072.0,377450.0,5,端午节,3,3
2025-06-03,2025,6,3,5,5号线,261434.0,122205.0,114826.0,139229.0,376260.0,5,端午节,0,4
2025-06-07,2025,6,7,5,5号线,254033.0,117227.0,101616.0,136806.0,355649.0,8,周末,0,0
2025-06-08,2025,6,8,5,5号线,226566.0,104576.0,92934.0,121990.0,319500.0,8,周末,0,0
2025-06-14,2025,6,14,5,5号线,279974.0,127640.0,111252.0,152334.0,391226.0,8,周末,0,0
2025-06-15,2025,6,15,5,5号线,269222.0,123411.0,106649.0,145811.0,375871.0,8,周末,0,0
2025-06-21,2025,6,21,5,5号线,256013.0,116541.0,101245.0,139472.0,357258.0,8,周末,0,0
2025-06-22,2025,6,22,5,5号线,230907.0,105879.0,92769.0,125028.0,323676.0,8,周末,0,0
2025-06-28,2025,6,28,5,5号线,288345.0,146527.0,104911.0,141818.0,393256.0,8,周末,0,0
2025-06-29,2025,6,29,5,5号线,269452.0,136806.0,94601.0,132646.0,364053.0,8,周末,0,0
2025-07-01,2025,7,1,5,5号线,316192.0,164235.0,119500.0,151957.0,435692.0,11,暑假,0,0
2025-07-02,2025,7,2,5,5号线,315181.0,162843.0,118987.0,152338.0,434168.0,11,暑假,0,0
2025-07-03,2025,7,3,5,5号线,318011.0,163956.0,119647.0,154055.0,437658.0,11,暑假,0,0
2025-07-04,2025,7,4,5,5号线,336888.0,173568.0,124460.0,163320.0,461348.0,11,暑假,0,0
2025-07-05,2025,7,5,5,5号线,286699.0,145902.0,100727.0,140797.0,387426.0,11,暑假,0,0
2025-07-06,2025,7,6,5,5号线,258275.0,130947.0,89258.0,127328.0,347533.0,11,暑假,0,0
2025-07-07,2025,7,7,5,5号线,309098.0,159225.0,116094.0,149873.0,425192.0,11,暑假,0,0
2025-07-08,2025,7,8,5,5号线,301249.0,155573.0,114008.0,145676.0,415257.0,11,暑假,0,0
2025-07-09,2025,7,9,5,5号线,299278.0,155077.0,113185.0,144201.0,412463.0,11,暑假,0,0
2025-07-10,2025,7,10,5,5号线,304816.0,157573.0,115122.0,147243.0,419938.0,11,暑假,0,0
2025-07-11,2025,7,11,5,5号线,330351.0,170717.0,122216.0,159634.0,452567.0,11,暑假,0,0
2025-07-12,2025,7,12,5,5号线,268848.0,139726.0,95304.0,129122.0,364152.0,11,暑假,0,0
2025-07-13,2025,7,13,5,5号线,276378.0,141239.0,96998.0,135139.0,373376.0,11,暑假,0,0
2025-07-14,2025,7,14,5,5号线,307687.0,158597.0,115093.0,149090.0,422780.0,11,暑假,0,0
2025-07-15,2025,7,15,5,5号线,302960.0,156248.0,114161.0,146712.0,417121.0,11,暑假,0,0
2025-07-16,2025,7,16,5,5号线,299704.0,154784.0,112849.0,144920.0,412553.0,11,暑假,0,0
2025-07-17,2025,7,17,5,5号线,296896.0,152965.0,111991.0,143931.0,408887.0,11,暑假,0,0
2025-07-18,2025,7,18,5,5号线,312638.0,160529.0,115750.0,152109.0,428388.0,11,暑假,0,0
2025-07-19,2025,7,19,5,5号线,266390.0,134786.0,94991.0,131604.0,361381.0,11,暑假,0,0
2025-07-20,2025,7,20,5,5号线,246319.0,124025.0,86770.0,122294.0,333089.0,11,暑假,0,0
2025-07-21,2025,7,21,5,5号线,295834.0,152036.0,111982.0,143798.0,407816.0,11,暑假,0,0
2025-07-22,2025,7,22,5,5号线,295576.0,153750.0,112015.0,141826.0,407591.0,11,暑假,0,0
2025-07-23,2025,7,23,5,5号线,268637.0,125416.0,113009.0,143221.0,381646.0,11,暑假,0,0
2025-07-24,2025,7,24,5,5号线,268393.0,124449.0,111971.0,143944.0,380364.0,11,暑假,0,0
2025-07-25,2025,7,25,5,5号线,282885.0,130506.0,116049.0,152379.0,398934.0,11,暑假,0,0
2025-07-26,2025,7,26,5,5号线,239277.0,108701.0,92796.0,130576.0,332073.0,11,暑假,0,0
