日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,1,1号线,473378.0,325821.0,315480.0,147557.0,788858.0,1,元旦,1,1
2025-01-02,2025,1,2,1,1号线,379431.0,259678.0,256848.0,119753.0,636279.0,1,元旦,0,2
2025-01-04,2025,1,4,1,1号线,365656.0,249600.0,245266.0,116056.0,610922.0,8,周末,0,0
2025-01-05,2025,1,5,1,1号线,333301.0,228454.0,224388.0,104847.0,557689.0,8,周末,0,0
2025-01-11,2025,1,11,1,1号线,393893.0,270792.0,260751.0,123101.0,654644.0,8,周末,0,0
2025-01-12,2025,1,12,1,1号线,365741.0,251699.0,243738.0,114042.0,609479.0,8,周末,0,0
2025-01-18,2025,1,18,1,1号线,377203.0,259286.0,253296.0,117917.0,630499.0,8,周末,0,0
2025-01-19,2025,1,19,1,1号线,354232.0,244071.0,236569.0,110161.0,590801.0,8,周末,0,0
2025-01-25,2025,1,25,1,1号线,219619.0,153460.0,146107.0,66159.0,365726.0,8,周末,0,0
2025-01-26,2025,1,26,1,1号线,238027.0,170267.0,158643.0,67760.0,396670.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,1,1号线,178588.0,128997.0,115941.0,49591.0,294529.0,2,春节,0,0
2025-01-28,2025,1,28,1,1号线,119780.0,85308.0,79412.0,34472.0,199192.0,2,春节,7,1
2025-01-29,2025,1,29,1,1号线,183454.0,130246.0,121626.0,53208.0,305080.0,2,春节,7,2
2025-01-30,2025,1,30,1,1号线,204682.0,142016.0,131963.0,62666.0,336645.0,2,春节,7,3
2025-01-31,2025,1,31,1,1号线,181780.0,123618.0,118247.0,58162.0,300027.0,2,春节,7,4
2025-02-01,2025,2,1,1,1号线,235912.0,161390.0,152235.0,74522.0,388147.0,2,春节,7,5
2025-02-02,2025,2,2,1,1号线,262551.0,180674.0,172848.0,81877.0,435399.0,2,春节,7,6
2025-02-03,2025,2,3,1,1号线,297808.0,203902.0,196711.0,93906.0,494519.0,2,春节,7,7
2025-02-04,2025,2,4,1,1号线,261352.0,155309.0,222186.0,106043.0,483538.0,2,春节,0,8
2025-02-08,2025,2,8,1,1号线,316404.0,193507.0,264936.0,122897.0,581340.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,1,1号线,288647.0,174726.0,242572.0,113921.0,531219.0,8,周末,0,0
2025-02-15,2025,2,15,1,1号线,304821.0,185684.0,249567.0,119137.0,554388.0,8,周末,0,0
2025-02-16,2025,2,16,1,1号线,284457.0,172517.0,232719.0,111940.0,517176.0,8,周末,0,0
2025-02-22,2025,2,22,1,1号线,315048.0,183561.0,259086.0,131487.0,574134.0,8,周末,0,0
2025-02-23,2025,2,23,1,1号线,309200.0,182707.0,257654.0,126493.0,566854.0,8,周末,0,0
2025-03-01,2025,3,1,1,1号线,564905.0,337040.0,327927.0,227865.0,892832.0,8,周末,0,0
