日期,年份,月份,日,线路编号,线路名称,总客流,进站量,出站量,换乘量,乘降量,节假日类型代码,节假日类型,节假日天数,节假日第几天
2025-01-01,2025,1,1,3,3号线,386615.0,252945.0,242594.0,133670.0,629209.0,1,元旦,1,1
2025-01-02,2025,1,2,3,3号线,307493.0,208462.0,192603.0,99031.0,500096.0,1,元旦,0,2
2025-01-04,2025,1,4,3,3号线,297865.0,203860.0,185772.0,94005.0,483637.0,8,周末,0,0
2025-01-05,2025,1,5,3,3号线,275892.0,189941.0,171970.0,85951.0,447862.0,8,周末,0,0
2025-01-11,2025,1,11,3,3号线,311191.0,213230.0,191473.0,97961.0,502664.0,8,周末,0,0
2025-01-12,2025,1,12,3,3号线,293802.0,202741.0,180873.0,91061.0,474675.0,8,周末,0,0
2025-01-18,2025,1,18,3,3号线,291207.0,200341.0,177164.0,90866.0,468371.0,8,周末,0,0
2025-01-19,2025,1,19,3,3号线,273523.0,188065.0,167515.0,85458.0,441038.0,8,周末,0,0
2025-01-25,2025,1,25,3,3号线,161981.0,112242.0,94429.0,49739.0,256410.0,8,周末,0,0
2025-01-26,2025,1,26,3,3号线,161068.0,112242.0,94411.0,48826.0,255479.0,9,节假日调休补班,0,0
2025-01-27,2025,1,27,3,3号线,121801.0,85337.0,69463.0,36464.0,191264.0,2,春节,0,0
2025-01-28,2025,1,28,3,3号线,76611.0,52254.0,44607.0,24357.0,121218.0,2,春节,7,1
2025-01-29,2025,1,29,3,3号线,90640.0,59270.0,54118.0,31370.0,144758.0,2,春节,7,2
2025-01-30,2025,1,30,3,3号线,114383.0,75219.0,67316.0,39164.0,181699.0,2,春节,7,3
2025-01-31,2025,1,31,3,3号线,102654.0,67981.0,59455.0,34673.0,162109.0,2,春节,7,4
2025-02-01,2025,2,1,3,3号线,136200.0,90472.0,78878.0,45728.0,215078.0,2,春节,7,5
2025-02-02,2025,2,2,3,3号线,157962.0,106989.0,89075.0,50973.0,247037.0,2,春节,7,6
2025-02-03,2025,2,3,3,3号线,198197.0,135960.0,113739.0,62237.0,311936.0,2,春节,7,7
2025-02-04,2025,2,4,3,3号线,191305.0,116072.0,141332.0,75233.0,332637.0,2,春节,0,8
2025-02-08,2025,2,8,3,3号线,234633.0,141202.0,178094.0,93431.0,412727.0,9,节假日调休补班,0,0
2025-02-09,2025,2,9,3,3号线,220579.0,134515.0,170255.0,86064.0,390834.0,8,周末,0,0
2025-02-15,2025,2,15,3,3号线,269613.0,161129.0,207821.0,108484.0,477434.0,8,周末,0,0
2025-02-16,2025,2,16,3,3号线,268334.0,159621.0,208384.0,108713.0,476718.0,8,周末,0,0
2025-02-22,2025,2,22,3,3号线,265015.0,164301.0,193478.0,100714.0,458493.0,8,周末,0,0
2025-02-23,2025,2,23,3,3号线,262065.0,162159.0,191639.0,99906.0,453704.0,8,周末,0,0
2025-03-01,2025,3,1,3,3号线,497250.0,290391.0,268370.0,206859.0,765620.0,8,周末,0,0
2025-03-02,2025,3,2,3,3号线,393098.0,224654.0,207704.0,168444.0,600802.0,8,周末,0,0
2025-03-08,2025,3,8,3,3号线,489399.0,281296.0,260926.0,208103.0,750325.0,8,周末,0,0
2025-03-09,2025,3,9,3,3号线,380621.0,213815.0,194398.0,166806.0,575019.0,8,周末,0,0
2025-03-15,2025,3,15,3,3号线,397992.0,227335.0,210326.0,170657.0,608318.0,8,周末,0,0
2025-03-16,2025,3,16,3,3号线,440579.0,253701.0,233867.0,186878.0,674446.0,8,周末,0,0
2025-03-22,2025,3,22,3,3号线,518717.0,299211.0,274947.0,219506.0,793664.0,8,周末,0,0
2025-03-23,2025,3,23,3,3号线,437821.0,247727.0,224909.0,190094.0,662730.0,8,周末,0,0
2025-03-29,2025,3,29,3,3号线,339698.0,193482.0,177947.0,146216.0,517645.0,8,周末,0,0
